algorithm,execution_time,peak_memory_usage,nodes_explored,path_length
DFS,0.00013899803161621094,4300,20,19
DFS,7.581710815429688e-05,1788,10,9
DFS,0.0001239776611328125,4132,20,19
DFS,0.00013375282287597656,4068,20,19
DFS,7.915496826171875e-05,1788,15,9
DFS,5.1975250244140625e-05,1252,6,5
DFS,0.00012230873107910156,4132,20,19
DFS,0.00018286705017089844,5592,30,29
DFS,0.00023603439331054688,5795,40,39
DFS,8.487701416015625e-05,1878,13,12
DFS,2.193450927734375e-05,1126,6,0
DFS,7.081031799316406e-05,1852,10,9
DFS,5.4836273193359375e-05,3792,31,0
DFS,0.00011014938354492188,2516,18,17
DFS,4.6253204345703125e-05,692,4,3
DFS,6.198883056640625e-05,3792,31,0
